,title,year,genre,country_first,iso3,continent
76,Krakatit,1948,"Mystery, Sci-Fi, Thriller",Czechia,CZE,Europe
77,Superman,1948,Sci-Fi,USA,USA,North America
78,Dick Barton Strikes Back,1949,"Action, Crime, Sci-Fi",United Kingdom,GBR,Europe
79,Quando torna primavera,1949,"Comedy, Sci-Fi, Sport",USA,USA,North America
80,The Perfect Woman,1949,"Comedy, Sci-Fi",United Kingdom,GBR,Europe
81,Atom Man vs. Superman,1950,Sci-Fi,USA,USA,North America
82,Uomini sulla luna,1950,"Adventure, Drama, Sci-Fi",USA,USA,North America
83,The Flying Saucer,1950,"Sci-Fi, Thriller",USA,USA,North America
84,Two Lost Worlds,1951,"Adventure, Romance, Sci-Fi",USA,USA,North America
85,Gianni e Pinotto contro l'uomo invisibile,1951,"Comedy, Sci-Fi, Sport",USA,USA,North America
86,Ultimatum alla Terra,1951,"Drama, Sci-Fi",USA,USA,North America
87,Anni perduti,1951,"Drama, Horror, Sci-Fi",USA,USA,North America
88,Volo su Marte,1951,Sci-Fi,USA,USA,North America
89,Il continente scomparso,1951,"Adventure, Fantasy, Sci-Fi",USA,USA,North America
90,L'uomo dal pianeta X,1951,"Horror, Romance, Sci-Fi",USA,USA,North America
91,Mysterious Island,1951,"Action, Sci-Fi",USA,USA,North America
92,La 'cosa' da un altro mondo,1951,"Horror, Sci-Fi",USA,USA,North America
93,Unknown World,1951,"Adventure, Sci-Fi",USA,USA,North America
94,Quando i mondi si scontrano,1951,"Action, Sci-Fi, Thriller",USA,USA,North America
95,La mandragora,1952,"Horror, Sci-Fi",Germany,DEU,Europe
96,Bela Lugosi e il gorilla di Brooklyn,1952,"Comedy, Horror, Sci-Fi",USA,USA,North America
97,El bello durmiente,1952,"Comedy, Fantasy, Sci-Fi",Mexico,MEX,North America
98,Blackhawk: Fearless Champion of Freedom,1952,"Action, Adventure, Sci-Fi",USA,USA,North America
99,Invasione USA,1952,"Drama, Sci-Fi, War",USA,USA,North America
100,Jim della giungla e gli uomini scimmia,1952,"Adventure, Sci-Fi",USA,USA,North America
101,Lo scandalo del vestito bianco,1951,"Comedy, Drama, Sci-Fi",United Kingdom,GBR,Europe
102,Il magnifico scherzo,1952,"Comedy, Sci-Fi",USA,USA,North America
103,I conquistatori della luna,1952,"Action, Sci-Fi",USA,USA,North America
104,Red Planet Mars,1952,"Drama, Sci-Fi",USA,USA,North America
105,Untamed Women,1952,"Sci-Fi, War",USA,USA,North America
106,Zombies of the Stratosphere,1952,"Action, Adventure, Sci-Fi",USA,USA,North America
107,Viaggio al pianeta Venere,1953,"Comedy, Fantasy, Sci-Fi",USA,USA,North America
108,Il risveglio del dinosauro,1953,"Horror, Sci-Fi",USA,USA,North America
109,Quei fantastici razzi volanti,1953,"Adventure, Sci-Fi",USA,USA,North America
110,Il cervello di Donovan,1953,"Sci-Fi, Horror",USA,USA,North America
111,Four Sided Triangle,1953,"Romance, Sci-Fi",United Kingdom,GBR,Europe
112,Destinazione Terra,1953,"Horror, Sci-Fi",USA,USA,North America
113,Killer Ape,1953,"Adventure, Sci-Fi",USA,USA,North America
114,Il mostro magnetico,1953,"Horror, Sci-Fi",USA,USA,North America
115,Mesa of Lost Women,1953,"Horror, Sci-Fi",USA,USA,North America
116,The Neanderthal Man,1953,"Horror, Sci-Fi",USA,USA,North America
117,M 7 non risponde,1953,"Drama, Sci-Fi",United Kingdom,GBR,Europe
118,Il fantasma dello spazio,1953,"Horror, Sci-Fi",USA,USA,North America
119,Planet Outlaws,1953,"Action, Family, Sci-Fi",USA,USA,North America
120,Project Moon Base,1953,Sci-Fi,USA,USA,North America
121,Esploratori dell'infinito,1954,"Drama, Sci-Fi",USA,USA,North America
122,Robot Monster,1953,"Comedy, Horror, Sci-Fi",USA,USA,North America
123,Sharey Chuattar,1953,"Comedy, Romance, Sci-Fi",India,IND,Asia
124,Viaggio nell'interspazio,1953,"Sci-Fi, Thriller",United Kingdom,GBR,Europe
125,The Twonky,1953,"Comedy, Sci-Fi",USA,USA,North America
